Rank 0: Reading matrix ../data/bcsstk14.mtx...
Matrix type: matrix coordinate real symmetric
  Real: yes
  Complex: no
  Symmetric: yes
  Pattern: no
Matrix size: 1806 x 1806, NNZ (file): 32630
Actual NNZ (after symmetry expansion): 63454

matrix_name,rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
../data/bcsstk14.mtx,0,4,0,0.000029325,0.000013113,15850,1318,31700
../data/bcsstk14.mtx,0,4,1,0.000023365,0.000007391,15850,1318,31700
../data/bcsstk14.mtx,0,4,2,0.000023365,0.000007391,15850,1318,31700
../data/bcsstk14.mtx,0,4,3,0.000023603,0.000007868,15850,1318,31700
../data/bcsstk14.mtx,0,4,4,0.000024319,0.000008345,15850,1318,31700
../data/bcsstk14.mtx,0,4,5,0.000023365,0.000007391,15850,1318,31700
../data/bcsstk14.mtx,0,4,6,0.000023365,0.000007391,15850,1318,31700
../data/bcsstk14.mtx,0,4,7,0.000028849,0.000012875,15850,1318,31700
../data/bcsstk14.mtx,0,4,8,0.000023127,0.000007153,15850,1318,31700
../data/bcsstk14.mtx,0,4,9,0.000023365,0.000007391,15850,1318,31700
../data/bcsstk14.mtx,1,4,0,0.000023842,0.000007868,15636,1330,31272
../data/bcsstk14.mtx,1,4,1,0.000022411,0.000006437,15636,1330,31272
../data/bcsstk14.mtx,1,4,2,0.000022888,0.000006914,15636,1330,31272
../data/bcsstk14.mtx,1,4,3,0.000022888,0.000007153,15636,1330,31272
../data/bcsstk14.mtx,1,4,4,0.000022888,0.000007153,15636,1330,31272
../data/bcsstk14.mtx,1,4,5,0.000023127,0.000007391,15636,1330,31272
../data/bcsstk14.mtx,1,4,6,0.000023365,0.000007629,15636,1330,31272
../data/bcsstk14.mtx,1,4,7,0.000026941,0.000011206,15636,1330,31272
../data/bcsstk14.mtx,1,4,8,0.000022650,0.000006914,15636,1330,31272
../data/bcsstk14.mtx,1,4,9,0.000022888,0.000007153,15636,1330,31272
../data/bcsstk14.mtx,2,4,0,0.000023842,0.000009298,15943,1317,31886
../data/bcsstk14.mtx,2,4,1,0.000023603,0.000008821,15943,1317,31886
../data/bcsstk14.mtx,2,4,2,0.000022888,0.000008345,15943,1317,31886
../data/bcsstk14.mtx,2,4,3,0.000022888,0.000008345,15943,1317,31886
../data/bcsstk14.mtx,2,4,4,0.000023365,0.000008583,15943,1317,31886
../data/bcsstk14.mtx,2,4,5,0.000023127,0.000008583,15943,1317,31886
../data/bcsstk14.mtx,2,4,6,0.000023365,0.000008821,15943,1317,31886
../data/bcsstk14.mtx,2,4,7,0.000026941,0.000012398,15943,1317,31886
../data/bcsstk14.mtx,2,4,8,0.000023603,0.000009060,15943,1317,31886
../data/bcsstk14.mtx,2,4,9,0.000022650,0.000008106,15943,1317,31886
../data/bcsstk14.mtx,3,4,0,0.000024319,0.000009298,16025,1321,32050
../data/bcsstk14.mtx,3,4,1,0.000022650,0.000007629,16025,1321,32050
../data/bcsstk14.mtx,3,4,2,0.000022411,0.000007629,16025,1321,32050
../data/bcsstk14.mtx,3,4,3,0.000023365,0.000008345,16025,1321,32050
../data/bcsstk14.mtx,3,4,4,0.000022888,0.000007868,16025,1321,32050
../data/bcsstk14.mtx,3,4,5,0.000022173,0.000007153,16025,1321,32050
../data/bcsstk14.mtx,3,4,6,0.000022411,0.000007391,16025,1321,32050
../data/bcsstk14.mtx,3,4,7,0.000027180,0.000012159,16025,1321,32050
../data/bcsstk14.mtx,3,4,8,0.000022650,0.000007868,16025,1321,32050
../data/bcsstk14.mtx,3,4,9,0.000022650,0.000007629,16025,1321,32050


=== SUMMARY METRICS TABLE ===
Matrix_Name,Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio,System_P90_Time,Total_GFLOPs
../data/bcsstk14.mtx,4,1317,1321.50,1330,1.0102,0.000029325,4.3276
=============================
